date,price
2021-09-06T00:00:00+00:00,3931.06
2021-09-07T00:00:00+00:00,3758.42
2021-09-08T00:00:00+00:00,3424.8050000000003
2021-09-09T00:00:00+00:00,3488.47
2021-09-10T00:00:00+00:00,3383.375
2021-09-11T00:00:00+00:00,3285.51
2021-09-12T00:00:00+00:00,3409.7799999999997
2021-09-13T00:00:00+00:00,3254.89
2021-09-14T00:00:00+00:00,3333.39
2021-09-15T00:00:00+00:00,3413.565
2021-09-16T00:00:00+00:00,3586.31
2021-09-17T00:00:00+00:00,3462.45
2021-09-18T00:00:00+00:00,3469.18
2021-09-19T00:00:00+00:00,3369.62
2021-09-20T00:00:00+00:00,3100.86
2021-09-21T00:00:00+00:00,2994.47
2021-09-22T00:00:00+00:00,2939.23
2021-09-23T00:00:00+00:00,3108.52
2021-09-24T00:00:00+00:00,2947.55
2021-09-25T00:00:00+00:00,2914.56
2021-09-26T00:00:00+00:00,2952.0299999999997
2021-09-27T00:00:00+00:00,3062.58
2021-09-28T00:00:00+00:00,2908.43
2021-09-29T00:00:00+00:00,2884.6549999999997
2021-09-30T00:00:00+00:00,2986.35
2021-10-01T00:00:00+00:00,3210.93
2021-10-02T00:00:00+00:00,3304.02
2021-10-03T00:00:00+00:00,3397.77
2021-10-04T00:00:00+00:00,3358.7
2021-10-05T00:00:00+00:00,3424.835
2021-10-06T00:00:00+00:00,3495.9300000000003
2021-10-07T00:00:00+00:00,3575.215
2021-10-08T00:00:00+00:00,3602.94
2021-10-09T00:00:00+00:00,3591.6800000000003
2021-10-10T00:00:00+00:00,3539
2021-10-11T00:00:00+00:00,3549.285
2021-10-12T00:00:00+00:00,3490.72
2021-10-13T00:00:00+00:00,3496.48
2021-10-14T00:00:00+00:00,3722.98
2021-10-15T00:00:00+00:00,3796.76
2021-10-16T00:00:00+00:00,3858.34
2021-10-17T00:00:00+00:00,3845.675
2021-10-18T00:00:00+00:00,3783.48
2021-10-19T00:00:00+00:00,3805
2021-10-20T00:00:00+00:00,3871.145
2021-10-21T00:00:00+00:00,4118.014999999999
2021-10-22T00:00:00+00:00,4108.63
2021-10-23T00:00:00+00:00,4013.91
2021-10-24T00:00:00+00:00,4067.36
2021-10-25T00:00:00+00:00,4126.715
2021-10-26T00:00:00+00:00,4238.6
2021-10-27T00:00:00+00:00,4013.43
2021-10-28T00:00:00+00:00,4137.11
2021-10-29T00:00:00+00:00,4355.82
2021-10-30T00:00:00+00:00,4333.215
2021-10-31T00:00:00+00:00,4259.175
2021-11-01T00:00:00+00:00,4320.355
2021-11-02T00:00:00+00:00,4440.855
2021-11-03T00:00:00+00:00,4578.5
2021-11-04T00:00:00+00:00,4527.13
2021-11-05T00:00:00+00:00,4508.42
2021-11-06T00:00:00+00:00,4480.06
2021-11-07T00:00:00+00:00,4587.57
2021-11-08T00:00:00+00:00,4732.77
2021-11-09T00:00:00+00:00,4786.4349999999995
2021-11-10T00:00:00+00:00,4725.1849999999995
2021-11-11T00:00:00+00:00,4706.32
2021-11-12T00:00:00+00:00,4663.4
2021-11-13T00:00:00+00:00,4642.98
2021-11-14T00:00:00+00:00,4610.25
2021-11-15T00:00:00+00:00,4677.495000000001
2021-11-16T00:00:00+00:00,4303.59
2021-11-17T00:00:00+00:00,4209.4
2021-11-18T00:00:00+00:00,4200.305
2021-11-19T00:00:00+00:00,4116.39
2021-11-20T00:00:00+00:00,4300.205
2021-11-21T00:00:00+00:00,4345.02
2021-11-22T00:00:00+00:00,4177.59
2021-11-23T00:00:00+00:00,4177.29
2021-11-24T00:00:00+00:00,4264.24
2021-11-25T00:00:00+00:00,4383.27
2021-11-26T00:00:00+00:00,4098.235000000001
2021-11-27T00:00:00+00:00,4127.47
2021-11-28T00:00:00+00:00,4067.8
2021-11-29T00:00:00+00:00,4332.06
2021-11-30T00:00:00+00:00,4544.635
2021-12-01T00:00:00+00:00,4711.445
2021-12-02T00:00:00+00:00,4530.7
2021-12-03T00:00:00+00:00,4519.02
2021-12-04T00:00:00+00:00,4040.18
2021-12-05T00:00:00+00:00,4141.71
2021-12-06T00:00:00+00:00,4146.325000000001
2021-12-07T00:00:00+00:00,4351.99
2021-12-08T00:00:00+00:00,4357.6849999999995
2021-12-09T00:00:00+00:00,4300.9
2021-12-10T00:00:00+00:00,4103.27
2021-12-11T00:00:00+00:00,4028.725
2021-12-12T00:00:00+00:00,4055.03
2021-12-13T00:00:00+00:00,3993.02
2021-12-14T00:00:00+00:00,3792.52
2021-12-15T00:00:00+00:00,3857.78
2021-12-16T00:00:00+00:00,4039.94
2021-12-17T00:00:00+00:00,3884.78
2021-12-18T00:00:00+00:00,3941.63
2021-12-19T00:00:00+00:00,3941.35
2021-12-20T00:00:00+00:00,3835.66
