,pool,token0,token1,token0Name,token1Name,fee_tier
0,0xa80964C5bBd1A0E95777094420555fead1A26c1e,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,dai,weth,10000.0
1,0xC2e9F25Be6257c210d7Adf0D4Cd6E3E881ba25f8,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,dai,weth,3000.0
2,0x60594a405d53811d3BC4766596EFD80fd545A270,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,dai,weth,500.0
3,0x7BeA39867e4169DBe237d55C8242a8f2fcDcc387,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,usdc,weth,10000.0
4,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,usdc,weth,3000.0
5,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,usdc,weth,500.0
6,0xE0554a476A092703abdB3Ef35c80e0D76d32939F,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,usdc,weth,100.0
7,0xC5aF84701f98Fa483eCe78aF83F11b6C38ACA71D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,weth,usdt,10000.0
8,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,weth,usdt,3000.0
9,0x11b815efB8f581194ae79006d24E0d814B7697F6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,weth,usdt,500.0
10,0x6Ab3bba2F41e7eAA262fa5A1A9b3932fA161526F,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wbtc,weth,10000.0
11,0xCBCdF9626bC03E24f779434178A73a0B4bad62eD,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wbtc,weth,3000.0
12,0x4585FE77225b41b697C938B018E2Ac67Ac5a20c0,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wbtc,weth,500.0
13,0xe6ff8b9A37B0fab776134636D9981Aa778c4e718,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,wbtc,weth,100.0
14,0x3A0f221eA8B150f3D3d27DE8928851aB5264bB65,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,link,weth,10000.0
15,0xa6Cc3C2531FdaA6Ae1A3CA84c2855806728693e8,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,link,weth,3000.0
16,0x5d4F3C6fA16908609BAC31Ff148Bd002AA6b8c83,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,link,weth,500.0
17,0xea4Ba4CE14fdd287f380b55419B1C5b6c3f22ab6,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,comp,weth,3000.0
18,0x99C7550be72F05ec31c446cD536F8a29C89fdB77,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,matic,weth,10000.0
19,0x290A6a7460B308ee3F19023D2D00dE604bcf5B42,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,matic,weth,3000.0
20,0x3aFdC5e6DfC0B0a507A8e023c9Dce2CAfC310316,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,mkr,weth,10000.0
21,0xe8c6c9227491C0a8156A0106A0204d881BB7E531,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,mkr,weth,3000.0
22,0x886072A44BDd944495eFF38AcE8cE75C1EacDAF6,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,mkr,weth,500.0
